Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
ZQK15,12/22/2014,99.82,99.835,99.82,99.83,0.005,0.01%,27697,740245
ZQK15,12/15/2014,99.835,99.87,99.82,99.825,-0.01,-0.01%,80878,739568
ZQK15,12/08/2014,99.825,99.845,99.825,99.835,0.01,0.01%,53821,718762
ZQK15,12/01/2014,99.86,99.865,99.82,99.825,-0.03,-0.03%,53017,698336
ZQK15,11/24/2014,99.85,99.86,99.85,99.855,0.005,0.01%,22872,723277
ZQK15,11/17/2014,99.855,99.865,99.845,99.85,-0.005,-0.01%,39657,717726
ZQH15,11/10/2014,99.89,99.895,99.845,99.855,-0.035,-0.04%,35691,695924
ZQH15,11/03/2014,99.895,99.9,99.885,99.89,-0.005,-0.01%,37894,669116
ZQH15,10/27/2014,99.905,99.905,99.89,99.895,-0.005,-0.01%,44774,665958
ZQG15,10/20/2014,99.905,99.905,99.895,99.9,0,0.00%,32479,636216
ZQG15,10/13/2014,99.91,99.91,99.9,99.9,-0.005,-0.01%,50474,620757
ZQG15,10/06/2014,99.905,99.915,99.9,99.905,0,0.00%,58351,599035
ZQG15,09/29/2014,99.9,99.91,99.895,99.905,0.005,0.01%,46641,574548
ZQG15,09/22/2014,99.885,99.905,99.885,99.9,0.02,0.02%,41542,588747
ZQG15,09/15/2014,99.88,99.89,99.87,99.88,0,0.00%,54712,565532
ZQF15,09/08/2014,99.895,99.895,99.875,99.88,-0.01,-0.01%,35828,527950
ZQF15,09/01/2014,99.895,99.9,99.89,99.89,0,0.00%,36097,517198
ZQF15,08/25/2014,99.89,99.895,99.885,99.89,0,0.00%,38923,537657
ZQF15,08/18/2014,99.895,99.895,99.88,99.89,-0.005,-0.01%,29500,534637
ZQF15,08/11/2014,99.885,99.895,99.88,99.895,0.015,0.02%,40706,505509
ZQF15,08/04/2014,99.875,99.885,99.87,99.88,0.005,0.01%,34973,467164
ZQN14,07/28/2014,99.9075,99.9075,99.86,99.875,-0.0325,-0.03%,44341,453539
ZQN14,07/21/2014,99.9075,99.9075,99.905,99.9075,0,0.00%,16204,452639
ZQN14,07/14/2014,99.9075,99.91,99.905,99.9075,0,0.00%,23936,445052
ZQN14,07/07/2014,99.9025,99.91,99.9025,99.9075,0.0075,0.01%,58499,426729
ZQN14,06/30/2014,99.9,99.905,99.9,99.9,0,0.00%,27235,412299
ZQN14,06/23/2014,99.9,99.905,99.895,99.9,0,0.00%,20659,421978
ZQN14,06/16/2014,99.9,99.905,99.89,99.9,-0.005,-0.01%,32632,405351
ZQN14,06/09/2014,99.905,99.91,99.9,99.905,0,0.00%,29945,379006
ZQN14,06/02/2014,99.905,99.905,99.9,99.905,0,0.00%,28836,355324
ZQN14,05/26/2014,99.905,99.905,99.9,99.905,0,0.00%,17097,363150
ZQN14,05/19/2014,99.905,99.91,99.905,99.905,0,0.00%,18188,363027
ZQN14,05/12/2014,99.91,99.91,99.905,99.905,0,0.00%,17772,344713
ZQK14,05/05/2014,99.915,99.915,99.9,99.905,-0.005,-0.01%,17792,327858
ZQJ14,04/28/2014,99.91,99.915,99.905,99.91,-0.0025,0.00%,24375,334576
ZQJ14,04/21/2014,99.915,99.915,99.91,99.9125,-0.005,-0.01%,21168,346252
ZQJ14,04/14/2014,99.92,99.92,99.915,99.9175,-0.0025,0.00%,15602,325934
ZQJ14,04/07/2014,99.9225,99.9225,99.9175,99.92,0,0.00%,26343,311935
ZQJ14,03/31/2014,99.915,99.925,99.915,99.92,0.005,0.01%,20202,294446
ZQH14,03/24/2014,99.9225,99.9225,99.915,99.915,-0.0075,-0.01%,22104,336867
ZQH14,03/17/2014,99.9225,99.9225,99.92,99.9225,0,0.00%,29110,324103
ZQH14,03/10/2014,99.9225,99.925,99.92,99.9225,-0.0025,0.00%,19350,301030
ZQH14,03/03/2014,99.9275,99.9275,99.9225,99.925,0,0.00%,19392,295585
ZQG14,02/24/2014,99.935,99.935,99.925,99.925,-0.0075,-0.01%,13722,319533
ZQG14,02/17/2014,99.9325,99.935,99.93,99.9325,0,0.00%,13769,319207
ZQG14,02/10/2014,99.9225,99.9325,99.9225,99.9325,0.0075,0.01%,16791,297161
ZQG14,02/03/2014,99.9225,99.925,99.92,99.925,0.005,0.01%,26743,278915
ZQG14,01/27/2014,99.915,99.925,99.915,99.92,0,0.00%,21427,287885
ZQF14,01/20/2014,99.9275,99.9275,99.915,99.92,-0.005,-0.01%,20543,281599
ZQF14,01/13/2014,99.9225,99.9275,99.9225,99.925,0.005,0.01%,14554,279373
ZQF14,01/06/2014,99.9125,99.9225,99.9125,99.92,0.01,0.01%,18790,277262
ZQF14,12/30/2013,99.915,99.92,99.91,99.91,0,0.00%,8802,283374
ZQF14,12/23/2013,99.91,99.915,99.91,99.91,0,0.00%,10375,306616
ZQF14,12/16/2013,99.915,99.92,99.905,99.91,-0.005,-0.01%,31643,294946
ZQF14,12/09/2013,99.915,99.92,99.91,99.915,0.005,0.01%,13537,277483
ZQZ13,12/02/2013,99.915,99.9175,99.905,99.91,-0.005,-0.01%,21352,268826
ZQX13,11/25/2013,99.915,99.92,99.91,99.915,-0.0025,0.00%,6950,280171
ZQX13,11/18/2013,99.915,99.9175,99.915,99.9175,0,0.00%,14114,288980
ZQX13,11/11/2013,99.9175,99.9175,99.915,99.9175,0,0.00%,13725,286728
ZQX13,11/04/2013,99.915,99.92,99.915,99.9175,0.0025,0.00%,15605,280587
ZQX13,10/28/2013,99.91,99.92,99.91,99.915,0,0.00%,12954,293794
ZQX13,10/21/2013,99.915,99.92,99.91,99.915,0.005,0.01%,10944,303632
ZQX13,10/14/2013,99.89,99.915,99.885,99.91,0.015,0.02%,16763,303581
ZQX13,10/07/2013,99.895,99.9,99.865,99.895,-0.005,-0.01%,28679,302827
ZQV13,09/30/2013,99.905,99.91,99.895,99.9,-0.005,-0.01%,19787,287741
ZQU13,09/23/2013,99.9175,99.92,99.9,99.905,-0.0125,-0.01%,21851,312629
ZQU13,09/16/2013,99.9175,99.92,99.9175,99.9175,0,0.00%,29378,300743
ZQU13,09/09/2013,99.9175,99.92,99.915,99.9175,0,0.00%,17044,286609
ZQU13,09/02/2013,99.92,99.92,99.9125,99.9175,0.0025,0.00%,33931,275574
ZQQ13,08/26/2013,99.9125,99.92,99.905,99.915,0.0025,0.00%,16407,297833
ZQQ13,08/19/2013,99.9125,99.915,99.91,99.9125,0.0025,0.00%,25657,296396
ZQQ13,08/12/2013,99.91,99.9125,99.9075,99.91,0.0025,0.00%,13062,282351
ZQQ13,08/05/2013,99.91,99.91,99.905,99.9075,0.0025,0.00%,6074,273772
ZQN13,07/29/2013,99.9075,99.91,99.9,99.905,0,0.00%,11885,286193
ZQN13,07/22/2013,99.905,99.9075,99.905,99.905,0.0025,0.00%,8204,308298
ZQN13,07/15/2013,99.9,99.905,99.9,99.9025,0.0025,0.00%,12469,306451
ZQN13,07/08/2013,99.9,99.9025,99.8975,99.9,0,0.00%,18305,301733
ZQN13,07/01/2013,99.8925,99.9025,99.8925,99.9,0.01,0.01%,23156,303222
ZQM13,06/24/2013,99.9025,99.905,99.885,99.89,-0.0125,-0.01%,40788,332487
ZQM13,06/17/2013,99.9075,99.9075,99.9,99.9025,-0.005,-0.01%,28294,338400
ZQM13,06/10/2013,99.905,99.91,99.9025,99.9075,0.005,0.01%,22469,325138
ZQM13,06/03/2013,99.895,99.905,99.895,99.9025,0.0075,0.01%,17301,313876
ZQK13,05/27/2013,99.89,99.9,99.885,99.895,0.0075,0.01%,36962,351403
ZQK13,05/20/2013,99.88,99.8875,99.88,99.8875,0.01,0.01%,17222,344985
ZQK13,05/13/2013,99.8725,99.88,99.87,99.8775,0.0075,0.01%,18760,334827
ZQK13,05/06/2013,99.8675,99.875,99.8675,99.87,0,0.00%,12813,325643
ZQK13,04/29/2013,99.87,99.88,99.865,99.87,0.0175,0.02%,16249,332832
ZQJ13,04/22/2013,99.85,99.855,99.85,99.8525,0,0.00%,14476,363189
ZQJ13,04/15/2013,99.8575,99.8575,99.85,99.8525,-0.005,-0.01%,8542,349459
ZQJ13,04/08/2013,99.8575,99.86,99.855,99.8575,0,0.00%,8729,342722
ZQJ13,04/01/2013,99.855,99.86,99.855,99.8575,0.0025,0.00%,13636,332659
ZQH13,03/25/2013,99.8475,99.855,99.8475,99.855,0.005,0.01%,15919,360867
ZQH13,03/18/2013,99.855,99.855,99.8475,99.85,-0.0025,0.00%,24921,355090
ZQH13,03/11/2013,99.8525,99.8575,99.85,99.8525,0,0.00%,10727,330209
ZQH13,03/04/2013,99.8525,99.8575,99.85,99.8525,-0.0025,0.00%,12631,327255
ZQH13,02/25/2013,99.855,99.86,99.85,99.855,0,0.00%,19321,333207
ZQG13,02/18/2013,99.8575,99.8575,99.8525,99.855,-0.0025,0.00%,10694,338310
ZQG13,02/11/2013,99.8625,99.8625,99.8575,99.8575,-0.005,-0.01%,11217,329551
ZQG13,02/04/2013,99.8675,99.87,99.86,99.8625,-0.0025,0.00%,18069,321137
ZQF13,01/28/2013,99.855,99.875,99.855,99.865,0.01,0.01%,27694,347013
